lsoacode_2011,totalpop_2015
E01001226,1448
E01001227,1496
E01001228,1794
E01001229,1499
E01001230,1411
E01001231,1859
E01001232,1459
E01001233,1355
E01001234,1408
E01001235,1629
E01001236,1493
E01001237,1520
E01001238,3636
E01001239,1555
E01001240,1646
E01001241,1572
E01001242,1512
E01001243,2192
E01001244,2770
E01001245,2007
E01001246,1468
E01001247,2445
E01001248,1497
E01001249,2215
E01001250,2046
E01001251,1658
E01001252,2136
E01001253,1828
E01001254,1675
E01001255,1591
E01001257,1907
E01001258,1664
E01001259,1460
E01001260,1912
E01001261,2244
E01001262,1586
E01001263,1612
E01001264,1660
E01001265,1791
E01001266,1849
E01001267,1992
E01001268,1720
E01001269,2049
E01001270,1682
E01001271,1932
E01001272,1641
E01001273,1693
E01001274,1726
E01001275,1891
E01001276,1852
E01001277,1969
E01001278,1933
E01001279,1448
E01001280,1828
E01001281,1592
E01001282,1433
E01001283,1492
E01001284,1513
E01001285,1767
E01001286,1574
E01001287,1470
E01001288,1437
E01001289,1318
E01001290,1919
E01001291,1559
E01001292,1631
E01001293,1585
E01001294,1885
E01001295,1767
E01001296,1411
E01001297,1749
E01001298,1862
E01001299,1740
E01001300,1635
E01001301,1703
E01001302,1606
E01001303,1644
E01001304,1618
E01001305,1633
E01001306,1646
E01001307,1913
E01001308,2018
E01001309,1828
E01001310,1834
E01001311,2069
E01001312,1865
E01001313,1696
E01001314,1573
E01001315,1448
E01001316,1553
E01001317,1888
E01001318,1721
E01001319,1467
E01001320,1526
E01001321,2080
E01001322,1831
E01001323,1776
E01001324,1767
E01001325,1739
E01001326,1783
E01001327,1833
E01001328,1800
E01001329,1830
E01001330,1722
E01001331,1630
E01001332,1499
E01001333,2163
E01001334,1569
E01001335,1771
E01001336,1603
E01001337,1534
E01001338,1878
E01001339,1467
E01001340,1862
E01001341,1765
E01001342,1967
E01001343,1477
E01001344,2316
E01001345,1822
E01001346,1844
E01001347,1632
E01001348,1655
E01001349,1406
E01001350,1457
E01001351,1999
E01001352,1548
E01001353,1542
E01001354,2029
E01001355,1740
E01001356,1958
E01001357,1600
E01001358,1071
E01001359,2297
E01001360,2021
E01001361,2097
E01001362,2137
E01001363,1779
E01001364,1678
E01001365,2279
E01001366,1984
E01001367,2133
E01001368,1797
E01001369,2007
E01001370,2029
E01001371,2326
E01001372,2005
E01001373,1789
E01001374,1862
E01001375,1680
E01001376,1562
E01001377,1722
E01001379,1597
E01001380,1831
E01001381,1861
E01001382,1495
E01001383,1680
E01001384,1669
E01001385,1681
E01001386,1736
E01001387,1592
E01001388,1500
E01001389,1730
E01032572,1507
E01032743,2384
E01032744,1532
E01001390,2096
E01001391,1876
E01001392,1929
E01001393,2180
E01001394,1806
E01001395,1659
E01001396,1532
E01001397,2239
E01001398,1375
E01001399,1481
E01001400,1624
E01001401,1375
E01001402,1970
E01001403,1711
E01001404,1580
E01001405,1865
E01001406,1635
E01001407,1690
E01001408,1713
E01001409,1995
E01001410,1684
E01001411,1905
E01001412,1784
E01001413,1633
E01001414,1576
E01001415,1663
E01001416,1713
E01001417,1803
E01001418,1738
E01001419,2103
E01001420,1660
E01001421,1655
E01001422,1656
E01001423,1990
E01001424,1246
E01001425,2112
E01001426,1968
E01001427,1992
E01001428,1812
E01001429,2554
E01001430,1914
E01001431,1796
E01001432,2070
E01001433,1908
E01001434,1610
E01001435,1500
E01001436,1907
E01001437,2579
E01001438,1678
E01001439,2239
E01001440,1678
E01001441,1654
E01001442,1814
E01001444,1794
E01001445,2961
E01001446,1875
E01001447,2051
E01001448,1860
E01001449,1697
E01001450,2105
E01001451,1623
E01001452,1400
E01001453,1809
E01001454,1710
E01001455,1521
E01001456,1404
E01001457,1668
E01001458,1875
E01001459,1750
E01001460,2005
E01001461,1842
E01001462,1429
E01001463,1664
E01001464,1357
E01001465,1620
E01001466,1814
E01001467,1932
E01001468,1315
E01001469,1727
E01001470,1625
E01001471,1905
E01001472,1733
E01001473,1567
E01001474,1908
E01001475,1692
E01001476,1854
E01001477,1895
E01001478,1553
E01001479,1862
E01001480,1625
E01001481,1709
E01001482,1940
E01001483,1251
E01001484,1389
E01001485,1979
E01001486,2287
E01001487,1979
E01001488,2024
E01001489,1951
E01001491,2055
E01001492,2093
E01001493,1902
E01001494,1525
E01001495,1910
E01001496,1726
E01001497,1476
E01001498,2036
E01001499,1550
E01001500,1601
E01001501,2068
E01001502,1895
E01001503,1989
E01001504,1496
E01001505,1688
E01001506,1616
E01001507,2016
E01001508,2082
E01001509,1853
E01001510,1055
E01001511,1799
E01001512,2136
E01001513,1811
E01001514,1854
E01001515,2043
E01001516,1836
E01001517,1917
E01001518,1882
E01001519,2675
E01001520,1781
E01001521,1889
E01001522,2010
E01001523,1801
E01001524,1669
E01001525,1944
E01001526,1687
E01001527,1680
E01001528,1331
E01001529,1771
E01001530,1500
E01001531,1524
E01001532,1707
E01001533,1474
E01001534,1670
E01001535,1464
E01001536,1850
E01001537,1773
E01001538,1642
E01001539,1659
E01001540,1807
